Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
2000000,0.6687855,0.006133173,3428.5555555555557,0.0074560815,0.016998556,0.00018134563,0.16044849,0.0030263811,-0.07111108825645512,-0.07111108825645512,1.0
2050000,0.6770399,-0.010635399,3012.2,0.0064318175,0.014390513,0.000178259,0.15941969,0.0029750406,-0.06349998228251934,-0.06349998228251934,1.0
2100000,0.6644485,-0.006381732,3765.714285714286,0.0076979967,0.016337257,0.00017578332,0.15859441,0.0029338612,-0.06357141331370388,-0.06357141331370388,1.0
2150000,0.6638059,-0.0032305366,3503.25,0.007886489,0.017247818,0.00017268704,0.15756232,0.0028823595,-0.04937498242361471,-0.04937498242361471,1.0
2200000,0.6433879,-0.0019536745,3334.1111111111113,0.00745383,0.017081095,0.00016959112,0.15653035,0.0028308653,-0.05638886563893822,-0.05638886563893822,1.0
2250000,0.64992285,-0.008562079,2488.0,0.007650219,0.016056268,0.00016651124,0.1555037,0.0027796356,-0.02625000011175871,-0.02625000011175871,1.0
2300000,0.7010013,-0.009503764,3549.0,0.0086491415,0.017474027,0.00016342272,0.15447423,0.002728263,-0.043499985197559,-0.043499985197559,1.0
2350000,0.71797645,0.009941302,3418.1428571428573,0.006455291,0.015832892,0.00016033783,0.15344591,0.0026769515,-0.045714272651821375,-0.045714272651821375,1.0
2400000,0.7165015,-0.0030619693,3787.5,0.006301498,0.015481024,0.00015724971,0.15241657,0.002625585,-0.04208331896613041,-0.04208331896613041,1.0
2450000,0.72418016,-0.003339487,3288.1666666666665,0.006789257,0.015002605,0.00015477402,0.1515913,0.002584407,-0.04458331906547149,-0.04458331906547149,1.0
2500000,0.7188088,-0.008309392,3673.875,0.008339662,0.01732477,0.00015168045,0.15056013,0.0025329508,-0.06406247324775904,-0.06406247324775904,1.0
2550000,0.72075814,-0.0006870725,3163.8888888888887,0.0068438943,0.016779568,0.00014859845,0.1495328,0.0024816864,-0.04611109709367156,-0.04611109709367156,1.0
2600000,0.7083576,-0.0062988973,3494.285714285714,0.007933724,0.016814366,0.00014551793,0.14850599,0.0024304476,-0.04357141522424562,-0.04357141522424562,1.0
2650000,0.70069826,0.0009282684,2646.875,0.0077623264,0.018081404,0.00014242678,0.14747557,0.0023790314,-0.023749991785734892,-0.023749991785734892,1.0
